id,question,gold_answer,model_answer,semantic_similarity,bert_score,rouge_l_f1,eval_time_sec
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Document Name_0,"Highlight the parts (if any) of this contract related to ""Document Name"" that should be reviewed by a lawyer. Details: The name of the contract",DISTRIBUTOR AGREEMENT,,0.0,0.0,0.0,0.0852503776550293
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Parties_0,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Distributor,"The ""Parties"" section specifying the roles, duties, and liabilities of each party, as well as any intellectual property rights provisions, should be reviewed by a lawyer.",0.16245220601558685,0.7806069850921631,0.0,3.566006660461426
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Parties_1,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Electric City of Illinois L.L.C.,"The ""Parties"" section specifying the roles, duties, and liabilities of each party, as well as any intellectual property rights provisions, should be reviewed by a lawyer.",0.09781420230865479,0.8191534876823425,0.06451612591051004,3.5343942642211914
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Parties_2,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Electric City of Illinois LLC,"The ""Parties"" section specifying the roles, duties, and liabilities of each party, as well as any intellectual property rights provisions, should be reviewed by a lawyer.",0.27959755063056946,0.7912285327911377,0.066666663888889,3.576233386993408
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Parties_3,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Company,"The ""Parties"" section specifying the roles, duties, and liabilities of each party, as well as any intellectual property rights provisions, should be reviewed by a lawyer.",0.24072955548763275,0.8053799867630005,0.0,3.5507819652557373
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Parties_4,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Electric City Corp.,"The ""Parties"" section specifying the roles, duties, and liabilities of each party, as well as any intellectual property rights provisions, should be reviewed by a lawyer.",0.19698476791381836,0.816531777381897,0.0,3.6054351329803467
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Agreement Date_0,"Highlight the parts (if any) of this contract related to ""Agreement Date"" that should be reviewed by a lawyer. Details: The date of the contract","7th day of September, 1999.",,0.0,0.0,0.0,0.08105039596557617
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Effective Date_0,"Highlight the parts (if any) of this contract related to ""Effective Date"" that should be reviewed by a lawyer. Details: The date when the contract is effective","Unless  earlier   terminated   otherwise  provided                   therein,  this  Agreement,  subject to the  commencement  date                   established  in Section 1.3,  shall be effective  immediately.",,0.0,0.0,0.0,0.07895731925964355
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Effective Date_1,"Highlight the parts (if any) of this contract related to ""Effective Date"" that should be reviewed by a lawyer. Details: The date when the contract is effective","The term of this  Agreement  shall be ten (10)                            years (the ""Term"")  which shall  commence on the date                            upon which the Company  delivers to  Distributor  the                            last Sample, as defined  hereinafter.",,0.0,0.0,0.0,0.08155441284179688
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Expiration Date_0,"Highlight the parts (if any) of this contract related to ""Expiration Date"" that should be reviewed by a lawyer. Details: On what date will the contract's initial term expire?","The term of this  Agreement  shall be ten (10)                            years (the ""Term"")  which shall  commence on the date                            upon which the Company  delivers to  Distributor  the                            last Sample, as defined  hereinafter.",Review the sections 1.3 and 4.1 related to the contract's duration and expiration date. A lawyer should ensure the correct date for the term's commencement and potential termination is stated.,0.5596507787704468,0.7271404266357422,0.11538461039201205,4.269904851913452
